FECHA;AGUASCALIENTES;BAJA CALIFORNIA;BAJA CALIFORNIA SUR;CAMPECHE;COAHUILA;COLIMA;CHIAPAS;CHIHUAHUA;CDMX;DURANGO;GUANAJUATO;GUERRERO;HIDALGO;JALISCO;ESTADO DE MÉXICO;MICHOACÁN;MORELOS;NAYARIT;NUEVO LEÓN;OAXACA;PUEBLA;QUERÉTARO;QUINTANA ROO;SAN LUIS POTOSÍ;SINALOA;SONORA;TABASCO;TAMAULIPAS;TLAXCALA;VERACRUZ;YUCATÁN;ZACATECAS
31/01/1985;4.90;12.20;30.30;20.90;40.70;8.10;107.30;54.60;1.10;61.30;1.40;15.80;22.50;7.10;3.50;1.40;2.80;60.80;36.60;10.90;12.10;2.80;64.70;12.40;115.60;44.80;189.30;25.20;2.90;22.80;56.20;20.50
28/02/1985;1.60;23.60;0.10;26.70;6.20;1.80;59.20;9.40;1.50;4.70;2.80;1.20;14.70;1.60;2.50;1.40;1.10;3.20;18.90;18.70;27.10;3.00;56.80;22.60;2.40;14.90;98.70;12.40;6.10;39.80;31.60;1.20
31/03/1985;1.90;10.00;0.30;16.50;4.90;0.20;60.50;5.10;4.70;0.50;3.00;6.20;17.70;2.30;10.70;5.90;3.30;5.20;22.20;31.80;25.30;1.20;25.60;7.70;8.40;6.20;94.70;18.30;23.40;31.10;31.60;1.20
30/04/1985;17.60;3.70;0.30;4.20;43.60;0.10;100.10;21.10;52.00;11.40;26.10;5.50;74.30;1.80;31.60;10.40;7.70;0.00;80.60;33.60;62.20;59.60;1.60;137.40;2.40;19.60;148.80;102.50;59.90;79.30;22.10;12.80
31/05/1985;21.50;0.00;0.10;233.40;46.90;1.20;111.90;8.10;67.20;6.60;55.70;37.70;77.90;10.70;54.30;23.70;49.20;1.70;63.10;80.10;72.30;58.30;371.00;72.80;0.10;0.30;97.40;81.40;101.40;55.40;142.20;21.40
30/06/1985;137.10;0.30;0.30;124.70;46.30;95.80;258.10;47.40;229.60;51.40;161.80;206.40;161.80;242.80;200.40;200.40;235.50;166.20;87.80;260.90;205.40;174.60;140.10;169.10;89.60;13.10;312.20;192.70;147.50;214.20;131.40;107.60
31/07/1985;85.40;0.80;19.60;142.70;20.20;102.60;256.00;74.50;130.60;96.90;104.20;240.60;156.80;174.20;140.40;165.00;184.00;282.40;14.70;291.70;191.40;133.70;165.50;263.70;167.00;106.00;268.40;132.90;94.20;263.30;175.70;81.10
31/08/1985;68.30;0.00;22.90;194.10;30.00;122.50;249.00;61.20;109.20;99.10;90.50;244.50;59.80;130.30;153.20;184.70;107.60;257.50;47.10;236.90;144.00;58.10;143.30;79.90;140.20;70.10;302.90;53.50;105.90;169.30;156.90;65.30
30/09/1985;47.60;13.50;18.50;154.60;44.30;103.00;259.00;66.20;68.70;76.40;46.50;176.50;66.50;121.80;121.50;100.80;142.20;165.80;51.00;195.50;155.60;57.10;154.00;99.10;158.20;58.00;260.80;62.60;94.30;184.60;179.20;47.10
31/10/1985;50.70;17.30;15.60;32.80;41.60;52.40;192.00;14.20;49.10;49.40;30.80;81.80;19.70;61.10;35.20;49.00;32.60;46.10;73.80;124.80;105.00;21.30;67.20;39.20;73.80;31.60;277.80;91.30;38.30;113.00;69.00;29.00
